"cd","nam","comp","yr_mon","qnty"
"3J120F50M2B002990","M7/151/S/24/LDR","MH","2016/04",1
"3J120F50M2B002990","M7/151/S/24/LDR","MH","2016/06",1
"3J121F54M2B002990","M7/151/S/40/MCS/LDR","MH","2016/06",1
"3J140F50M2B002990","M7/171/S/24/LDR","MH","2016/05",1
"3J14CF54M2B502990","M7/171/P/24/MCS/LDR/BAR","MH","2016/06",1
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/03",3
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/04",35
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/05",67
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/06",108
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/07",115
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/08",102
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/09",119
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/10",100
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/11",69
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2015/12",119
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/01",44
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/02",76
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/03",141
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/04",163
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/05",179
"B2301HSD","4WD TRA W/FOLDABLE ROPS","B","2016/06",155
"B2301HSD#","4WD TRA W/FOLDABLE ROPS","B","2015/10",1
"B2301HSD#","4WD TRA W/FOLDABLE ROPS","B","2016/02",2
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/01",1
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/05",1
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/07",13
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/08",27
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/09",21
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/10",13
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/11",9
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2013/12",13
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/01",11
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/02",14
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/03",22
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/04",21
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/05",36
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/06",21
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/07",25
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/08",17
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/09",22
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/10",20
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/11",10
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2014/12",21
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/01",13
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/02",15
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/03",25
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/04",27
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/05",28
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/06",44
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/07",32
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/08",28
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/09",20
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/10",22
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/11",15
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2015/12",12
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/01",9
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/02",13
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/03",24
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/04",29
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/05",28
"B2320DT","4WD TRA W/FOLDABLE ROPS & LDR VALVE","B","2016/06",32
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/07",5
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/08",7
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/09",1
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/10",9
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/11",5
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2013/12",17
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/01",3
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/02",4
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/03",2
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/04",11
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/05",15
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/06",13
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/07",10
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/08",13
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/09",2
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/10",7
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/11",18
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2014/12",8
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/01",6
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/02",7
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/03",13
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/04",11
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/05",12
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/06",14
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/07",7
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/08",12
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/09",17
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/10",6
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/11",6
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/12",17
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/01",8
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/02",3
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/03",8
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/04",6
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/05",8
"B2320DTN-1","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/06",15
"B2320DTN-1#","4WD NARROW TRACTOR W/RIGID ROPS","B","2015/04",1
"B2320DTN-1#","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/04",4
"B2320DTN-1#","4WD NARROW TRACTOR W/RIGID ROPS","B","2016/05",2
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/06",3
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/07",10
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/08",6
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/09",13
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/10",9
"B2320DTWO","4WD TRA W/FOLDABLE ROPS W/O LDR VLV","B","2013/11",2
