"cd","sal_start","sal_end","total_month","data_month","NA_month","NA_rate","data_2016","qnty.mon_ave","qnty.mon_median","qnty.mon_min","qnty.mon_max","qnty.all"
"3J120F50M2B002990","2016/04","2016/06",3,2,1,0.333333333333333,TRUE,1,1,1,1,2
"3J121F54M2B002990","2016/06","2016/06",1,1,0,0,TRUE,1,1,1,1,1
"3J140F50M2B002990","2016/05","2016/05",1,1,0,0,FALSE,1,1,1,1,1
"3J14CF54M2B502990","2016/06","2016/06",1,1,0,0,TRUE,1,1,1,1,1
"B2301HSD","2015/03","2016/06",16,16,0,0,TRUE,99.6875,105,3,179,1595
"B2301HSD#","2015/10","2016/02",5,2,3,0.6,FALSE,1.5,1.5,1,2,3
"B2320DT","2013/01","2016/06",42,38,4,0.0952380952380952,TRUE,19.8421052631579,21,1,44,754
"B2320DTN-1","2013/07","2016/06",36,36,0,0,TRUE,9.05555555555556,8,1,18,326
"B2320DTN-1#","2015/04","2016/05",14,3,11,0.785714285714286,FALSE,2.33333333333333,2,1,4,7
"B2320DTWO","2013/06","2016/06",37,36,1,0.027027027027027,TRUE,7.11111111111111,6.5,2,20,256
"B2320HSD","2013/02","2016/06",41,38,3,0.0731707317073171,TRUE,79.5526315789474,83,1,207,3023
"B2320HSD#","2013/10","2015/04",19,7,12,0.631578947368421,FALSE,1,1,1,1,7
"B2320HSDN","2013/07","2016/05",35,21,14,0.4,FALSE,3.28571428571429,2,1,8,69
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238
"B26#","2013/06","2014/04",11,2,9,0.818181818181818,FALSE,1.5,1.5,1,2,3
"B2601HSD","2014/12","2016/06",19,17,2,0.105263157894737,TRUE,173.823529411765,205,2,315,2955
"B2601HSD#","2015/08","2016/02",7,2,5,0.714285714285714,FALSE,2,2,2,2,4
"B2620HSD","2013/03","2016/06",40,37,3,0.075,TRUE,85.1081081081081,81,1,261,3149
"B2620HSD#","2014/09","2014/09",1,1,0,0,FALSE,1,1,1,1,1
"B2630HSD-R","2014/03","2014/03",1,1,0,0,FALSE,1,1,1,1,1
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087
"B2650HSD#","2014/08","2015/11",16,4,12,0.75,FALSE,1,1,1,1,4
"B2650HSDC","2013/05","2016/06",38,38,0,0,TRUE,56.0789473684211,55,1,135,2131
"B2650HSDC#","2013/09","2016/04",32,5,27,0.84375,FALSE,2,1,1,6,10
"B2920HSD","2013/03","2016/04",38,36,2,0.0526315789473684,FALSE,37.9166666666667,13,1,146,1365
"B3000HSDC","2013/04","2015/08",29,19,10,0.344827586206897,FALSE,4.63157894736842,4,1,12,88
"B3000HSDCC","2013/04","2016/01",34,24,10,0.294117647058824,FALSE,9.125,4.5,1,36,219
"B3030HSD-F","2013/10","2014/03",6,2,4,0.666666666666667,FALSE,1,1,1,1,2
"B3030HSDCC","2013/11","2014/06",8,2,6,0.75,FALSE,1,1,1,1,2
"B3200HSD","2013/03","2016/05",39,35,4,0.102564102564103,FALSE,62.7428571428571,16,1,242,2196
"B3200HSD#","2013/09","2013/12",4,3,1,0.25,FALSE,1,1,1,1,3
"B3200HSDWO","2013/07","2015/11",29,22,7,0.241379310344828,FALSE,4.45454545454545,2.5,1,13,98
"B3300SUHSDP","2013/02","2016/04",39,32,7,0.179487179487179,FALSE,54.28125,31.5,1,162,1737
