"cd","sal_start","sal_end","total_month","data_month","NA_month","NA_rate","data_2016","qnty.mon_ave","qnty.mon_median","qnty.mon_min","qnty.mon_max","qnty.all","qnty_mean_yr16","yr_mon","qnty","qnty_max","qnty_min","qnty_normal"
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/03",1,96,1,0
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/05",2,96,1,0.0105263157894737
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/06",1,96,1,0
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/07",23,96,1,0.231578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/08",17,96,1,0.168421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/09",17,96,1,0.168421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/10",28,96,1,0.284210526315789
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/11",17,96,1,0.168421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2013/12",36,96,1,0.368421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/01",12,96,1,0.115789473684211
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/02",23,96,1,0.231578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/03",50,96,1,0.515789473684211
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/04",23,96,1,0.231578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/05",39,96,1,0.4
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/06",34,96,1,0.347368421052632
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/07",27,96,1,0.273684210526316
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/08",27,96,1,0.273684210526316
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/09",24,96,1,0.242105263157895
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/10",19,96,1,0.189473684210526
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/11",17,96,1,0.168421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2014/12",35,96,1,0.357894736842105
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/01",49,96,1,0.505263157894737
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/02",7,96,1,0.0631578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/03",23,96,1,0.231578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/04",37,96,1,0.378947368421053
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/05",50,96,1,0.515789473684211
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/06",36,96,1,0.368421052631579
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/07",31,96,1,0.315789473684211
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/08",35,96,1,0.357894736842105
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/09",26,96,1,0.263157894736842
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/10",35,96,1,0.357894736842105
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/11",22,96,1,0.221052631578947
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2015/12",71,96,1,0.736842105263158
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/01",40,96,1,0.410526315789474
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/02",54,96,1,0.557894736842105
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/03",42,96,1,0.431578947368421
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/04",52,96,1,0.536842105263158
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/05",60,96,1,0.621052631578947
"B26","2013/03","2016/06",40,39,1,0.025,TRUE,31.7435897435897,28,1,96,1238,57.3333333333333,"2016/06",96,96,1,1
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/02",1,298,1,0
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/03",19,298,1,0.0606060606060606
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/04",42,298,1,0.138047138047138
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/05",83,298,1,0.276094276094276
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/06",131,298,1,0.437710437710438
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/07",109,298,1,0.363636363636364
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/08",109,298,1,0.363636363636364
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/09",179,298,1,0.599326599326599
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/10",120,298,1,0.400673400673401
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/11",94,298,1,0.313131313131313
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2014/12",157,298,1,0.525252525252525
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/01",76,298,1,0.252525252525253
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/02",64,298,1,0.212121212121212
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/03",138,298,1,0.461279461279461
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/04",250,298,1,0.838383838383838
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/05",298,298,1,1
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/06",277,298,1,0.929292929292929
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/07",207,298,1,0.693602693602694
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/08",127,298,1,0.424242424242424
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/09",160,298,1,0.535353535353535
"B2650HSD","2014/02","2016/06",29,29,0,0,TRUE,140.931034482759,131,1,298,4087,170.833333333333,"2015/10",157,298,1,0.525252525252525
