"cd","yr_mon","qnty_normal","clst_type","qnty_max","qnty_min"
"B26","2013/01",NA,"B",96,1
"B26","2013/02",NA,"B",96,1
"B26","2013/03",0,"B",96,1
"B26","2013/04",NA,"B",96,1
"B26","2013/05",0.0105263157894737,"B",96,1
"B26","2013/06",0,"B",96,1
"B26","2013/07",0.231578947368421,"B",96,1
"B26","2013/08",0.168421052631579,"B",96,1
"B26","2013/09",0.168421052631579,"B",96,1
"B26","2013/10",0.284210526315789,"B",96,1
"B26","2013/11",0.168421052631579,"B",96,1
"B26","2013/12",0.368421052631579,"B",96,1
"B26","2014/01",0.115789473684211,"B",96,1
"B26","2014/02",0.231578947368421,"B",96,1
"B26","2014/03",0.515789473684211,"B",96,1
"B26","2014/04",0.231578947368421,"B",96,1
"B26","2014/05",0.4,"B",96,1
"B26","2014/06",0.347368421052632,"B",96,1
"B26","2014/07",0.273684210526316,"B",96,1
"B26","2014/08",0.273684210526316,"B",96,1
"B26","2014/09",0.242105263157895,"B",96,1
"B26","2014/10",0.189473684210526,"B",96,1
"B26","2014/11",0.168421052631579,"B",96,1
"B26","2014/12",0.357894736842105,"B",96,1
"B26","2015/01",0.505263157894737,"B",96,1
"B26","2015/02",0.0631578947368421,"B",96,1
"B26","2015/03",0.231578947368421,"B",96,1
"B26","2015/04",0.378947368421053,"B",96,1
"B26","2015/05",0.515789473684211,"B",96,1
"B26","2015/06",0.368421052631579,"B",96,1
"B26","2015/07",0.315789473684211,"B",96,1
"B26","2015/08",0.357894736842105,"B",96,1
"B26","2015/09",0.263157894736842,"B",96,1
"B26","2015/10",0.357894736842105,"B",96,1
"B26","2015/11",0.221052631578947,"B",96,1
"B26","2015/12",0.736842105263158,"B",96,1
"B26","2016/01",0.410526315789474,"B",96,1
"B26","2016/02",0.557894736842105,"B",96,1
"B26","2016/03",0.431578947368421,"B",96,1
"B26","2016/04",0.536842105263158,"B",96,1
"B26","2016/05",0.621052631578947,"B",96,1
"B26","2016/06",1,"B",96,1
"B2650HSD","2013/01",NA,"E",298,1
"B2650HSD","2013/02",NA,"E",298,1
"B2650HSD","2013/03",NA,"E",298,1
"B2650HSD","2013/04",NA,"E",298,1
"B2650HSD","2013/05",NA,"E",298,1
"B2650HSD","2013/06",NA,"E",298,1
"B2650HSD","2013/07",NA,"E",298,1
"B2650HSD","2013/08",NA,"E",298,1
"B2650HSD","2013/09",NA,"E",298,1
"B2650HSD","2013/10",NA,"E",298,1
"B2650HSD","2013/11",NA,"E",298,1
"B2650HSD","2013/12",NA,"E",298,1
"B2650HSD","2014/01",NA,"E",298,1
"B2650HSD","2014/02",0,"E",298,1
"B2650HSD","2014/03",0.0606060606060606,"E",298,1
"B2650HSD","2014/04",0.138047138047138,"E",298,1
"B2650HSD","2014/05",0.276094276094276,"E",298,1
"B2650HSD","2014/06",0.437710437710438,"E",298,1
"B2650HSD","2014/07",0.363636363636364,"E",298,1
"B2650HSD","2014/08",0.363636363636364,"E",298,1
"B2650HSD","2014/09",0.599326599326599,"E",298,1
"B2650HSD","2014/10",0.400673400673401,"E",298,1
"B2650HSD","2014/11",0.313131313131313,"E",298,1
"B2650HSD","2014/12",0.525252525252525,"E",298,1
"B2650HSD","2015/01",0.252525252525253,"E",298,1
"B2650HSD","2015/02",0.212121212121212,"E",298,1
"B2650HSD","2015/03",0.461279461279461,"E",298,1
"B2650HSD","2015/04",0.838383838383838,"E",298,1
"B2650HSD","2015/05",1,"E",298,1
"B2650HSD","2015/06",0.929292929292929,"E",298,1
"B2650HSD","2015/07",0.693602693602694,"E",298,1
"B2650HSD","2015/08",0.424242424242424,"E",298,1
"B2650HSD","2015/09",0.535353535353535,"E",298,1
"B2650HSD","2015/10",0.525252525252525,"E",298,1
"B2650HSD","2015/11",0.37037037037037,"E",298,1
"B2650HSD","2015/12",0.511784511784512,"E",298,1
"B2650HSD","2016/01",0.164983164983165,"E",298,1
"B2650HSD","2016/02",0.259259259259259,"E",298,1
"B2650HSD","2016/03",0.511784511784512,"E",298,1
"B2650HSD","2016/04",0.764309764309764,"E",298,1
"B2650HSD","2016/05",0.851851851851852,"E",298,1
"B2650HSD","2016/06",0.878787878787879,"E",298,1
"B2650HSDC","2013/01",NA,"B",135,1
"B2650HSDC","2013/02",NA,"B",135,1
"B2650HSDC","2013/03",NA,"B",135,1
"B2650HSDC","2013/04",NA,"B",135,1
"B2650HSDC","2013/05",0,"B",135,1
"B2650HSDC","2013/06",0,"B",135,1
"B2650HSDC","2013/07",0.119402985074627,"B",135,1
"B2650HSDC","2013/08",0.17910447761194,"B",135,1
"B2650HSDC","2013/09",0.253731343283582,"B",135,1
"B2650HSDC","2013/10",0.305970149253731,"B",135,1
"B2650HSDC","2013/11",0.313432835820896,"B",135,1
"B2650HSDC","2013/12",0.417910447761194,"B",135,1
"B2650HSDC","2014/01",0.216417910447761,"B",135,1
"B2650HSDC","2014/02",0.298507462686567,"B",135,1
"B2650HSDC","2014/03",0.283582089552239,"B",135,1
"B2650HSDC","2014/04",0.440298507462687,"B",135,1
"B2650HSDC","2014/05",0.388059701492537,"B",135,1
"B2650HSDC","2014/06",0.462686567164179,"B",135,1
"B2650HSDC","2014/07",0.358208955223881,"B",135,1
"B2650HSDC","2014/08",0.328358208955224,"B",135,1
"B2650HSDC","2014/09",0.417910447761194,"B",135,1
"B2650HSDC","2014/10",0.641791044776119,"B",135,1
"B2650HSDC","2014/11",0.626865671641791,"B",135,1
