"cd","2013/01","2013/02","2013/03","2013/04","2013/05","2013/06","2013/07","2013/08","2013/09","2013/10","2013/11","2013/12","2014/01","2014/02","2014/03","2014/04","2014/05","2014/06","2014/07","2014/08","2014/09","2014/10","2014/11","2014/12","2015/01","2015/02","2015/03","2015/04","2015/05","2015/06","2015/07","2015/08","2015/09","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06"
"B26",NA,NA,0,NA,0.0105263157894737,0,0.231578947368421,0.168421052631579,0.168421052631579,0.284210526315789,0.168421052631579,0.368421052631579,0.115789473684211,0.231578947368421,0.515789473684211,0.231578947368421,0.4,0.347368421052632,0.273684210526316,0.273684210526316,0.242105263157895,0.189473684210526,0.168421052631579,0.357894736842105,0.505263157894737,0.0631578947368421,0.231578947368421,0.378947368421053,0.515789473684211,0.368421052631579,0.315789473684211,0.357894736842105,0.263157894736842,0.357894736842105,0.221052631578947,0.736842105263158,0.410526315789474,0.557894736842105,0.431578947368421,0.536842105263158,0.621052631578947,1
"B2650HSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0606060606060606,0.138047138047138,0.276094276094276,0.437710437710438,0.363636363636364,0.363636363636364,0.599326599326599,0.400673400673401,0.313131313131313,0.525252525252525,0.252525252525253,0.212121212121212,0.461279461279461,0.838383838383838,1,0.929292929292929,0.693602693602694,0.424242424242424,0.535353535353535,0.525252525252525,0.37037037037037,0.511784511784512,0.164983164983165,0.259259259259259,0.511784511784512,0.764309764309764,0.851851851851852,0.878787878787879
"B2650HSDC",NA,NA,NA,NA,0,0,0.119402985074627,0.17910447761194,0.253731343283582,0.305970149253731,0.313432835820896,0.417910447761194,0.216417910447761,0.298507462686567,0.283582089552239,0.440298507462687,0.388059701492537,0.462686567164179,0.358208955223881,0.328358208955224,0.417910447761194,0.641791044776119,0.626865671641791,0.902985074626866,0.201492537313433,0.276119402985075,0.462686567164179,0.440298507462687,0.485074626865672,0.604477611940298,0.507462686567164,0.358208955223881,0.604477611940298,0.58955223880597,0.611940298507463,1,0.313432835820896,0.335820895522388,0.305970149253731,0.477611940298507,0.507462686567164,0.582089552238806
"B3350HSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.127906976744186,0.232558139534884,0.372093023255814,0.267441860465116,0.325581395348837,0.395348837209302,0.22093023255814,0.22093023255814,0.337209302325581,0.162790697674419,0.151162790697674,0.348837209302326,0.686046511627907,0.930232558139535,1,0.802325581395349,0.302325581395349,0.523255813953488,0.337209302325581,0.186046511627907,0.418604651162791,0.0930232558139535,0.151162790697674,0.313953488372093,0.395348837209302,0.604651162790698,0.5
"B3350HSDC",NA,NA,NA,NA,NA,NA,NA,NA,0,0.260869565217391,0.434782608695652,1,0.173913043478261,0.217391304347826,0.521739130434783,0.5,0.434782608695652,0.478260869565217,0.347826086956522,0.260869565217391,0.478260869565217,0.630434782608696,0.456521739130435,0.630434782608696,0.326086956521739,0.239130434782609,0.347826086956522,0.565217391304348,0.760869565217391,0.847826086956522,0.782608695652174,0.5,0.543478260869565,0.608695652173913,0.239130434782609,0.739130434782609,0.173913043478261,0.391304347826087,0.152173913043478,0.130434782608696,0.58695652173913,0.5
"B3350SUHSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0163934426229508,0.213114754098361,0.180327868852459,0.147540983606557,0.327868852459016,0.327868852459016,0.262295081967213,0.278688524590164,0.60655737704918,0.114754098360656,0.327868852459016,0.639344262295082,0.721311475409836,1,0.901639344262295,0.557377049180328,0.573770491803279,0.557377049180328,0.557377049180328,0.278688524590164,0.442622950819672,0.180327868852459,0.180327868852459,0.426229508196721,0.459016393442623,0.442622950819672,0.655737704918033
"BX1870TV54-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0583333333333333,0.158333333333333,0.225,0.5,0.275,0.375,0.591666666666667,0.25,0.141666666666667,0.241666666666667,0.0583333333333333,0.158333333333333,0.316666666666667,0.85,1,0.766666666666667,0.725,0.375,0.391666666666667,0.483333333333333,0.208333333333333,0.25,0.108333333333333,0.0916666666666667,0.458333333333333,0.833333333333333,0.775,0.725
"BX1870V-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0504201680672269,0.168067226890756,0.26890756302521,0.243697478991597,0.260504201680672,0.453781512605042,0.285714285714286,0.151260504201681,0.310924369747899,0.0756302521008403,0.109243697478992,0.327731092436975,0.781512605042017,1,0.747899159663866,0.65546218487395,0.361344537815126,0.554621848739496,0.277310924369748,0.34453781512605,0.327731092436975,0.100840336134454,0.168067226890756,0.571428571428571,0.848739495798319,0.823529411764706,0.756302521008403
"BX2370RV-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0427807486631016,0.0855614973262032,0.176470588235294,0.283422459893048,0.358288770053476,0.363636363636364,0.588235294117647,0.283422459893048,0.213903743315508,0.310160427807487,0.149732620320856,0.272727272727273,0.470588235294118,0.780748663101604,1,0.828877005347594,0.754010695187166,0.358288770053476,0.374331550802139,0.320855614973262,0.192513368983957,0.310160427807487,0.165775401069519,0.32620320855615,0.657754010695187,0.609625668449198,0.636363636363636,0.67379679144385
"BX2370RV60-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.123552123552124,0.204633204633205,0.382239382239382,0.405405405405405,0.335907335907336,0.316602316602317,0.540540540540541,0.316602316602317,0.193050193050193,0.301158301158301,0.0772200772200772,0.123552123552124,0.517374517374517,1,0.83011583011583,0.772200772200772,0.61003861003861,0.308880308880309,0.28957528957529,0.239382239382239,0.11969111969112,0.135135135135135,0.0540540540540541,0.142857142857143,0.436293436293436,0.55984555984556,0.606177606177606,0.544401544401544
