"cd","yr_mon","clst_type","qnty","frcst_from_now"
"ZG327PA-60","2013/02","A",1,NA
"ZG327PA-60","2013/03","A",1,NA
"ZG327PA-60","2013/05","A",3,NA
"ZG327PA-60","2013/06","A",1,NA
"ZG327PA-60","2013/07","A",64,NA
"ZG327PA-60","2013/08","A",60,NA
"ZG327PA-60","2013/09","A",33,NA
"ZG327PA-60","2013/10","A",23,NA
"ZG327PA-60","2013/11","A",16,NA
"ZG327PA-60","2013/12","A",26,NA
"ZG327PA-60","2014/01","A",8,NA
"ZG327PA-60","2014/02","A",10,NA
"ZG327PA-60","2014/03","A",37,NA
"ZG327PA-60","2014/04","A",79,NA
"ZG327PA-60","2014/05","A",72,NA
"ZG327PA-60","2014/06","A",55,NA
"ZG327PA-60","2014/07","A",37,NA
"ZG327PA-60","2014/08","A",34,NA
"ZG327PA-60","2014/09","A",32,NA
"ZG327PA-60","2014/10","A",19,NA
"ZG327PA-60","2014/11","A",13,NA
"ZG327PA-60","2014/12","A",16,NA
"ZG327PA-60","2015/01","A",9,NA
"ZG327PA-60","2015/02","A",12,NA
"ZG327PA-60","2015/03","A",49,NA
"ZG327PA-60","2015/04","A",86,NA
"ZG327PA-60","2015/05","A",78,NA
"ZG327PA-60","2015/06","A",52,NA
"ZG327PA-60","2015/07","A",38,NA
"ZG327PA-60","2015/08","A",36,NA
"ZG327PA-60","2015/09","A",23,NA
"ZG327PA-60","2015/10","A",13,NA
"ZG327PA-60","2015/11","A",15,NA
"ZG327PA-60","2015/12","A",14,NA
"ZG327PA-60","2016/01","A",8,NA
"ZG327PA-60","2016/02","A",8,NA
"ZG327PA-60","2016/03","A",41,NA
"ZG327PA-60","2016/04","A",53,NA
"ZG327PA-60","2016/05","A",59,NA
"ZG327PA-60","2016/06","A",58,58
"ZG327PA-60","2016/07","A",NA,42.2157
"ZG327PA-60","2016/08","A",NA,35.7967333333333
"ZG327PA-60","2016/09","A",NA,26.1154666666667
"ZG327PA-60","2016/10","A",NA,17.9623
"ZG327PA-60","2016/11","A",NA,14.8609333333333
"ZG327PA-60","2016/12","A",NA,13.8626333333333
"ZG327PA-60","2017/01","A",NA,11.0422
"ZG327PA-60","2017/02","A",NA,18.0358666666667
"ZG327PA-60","2017/03","A",NA,46.2757333333333
"ZG327PA-60","2017/04","A",NA,61.0172666666667
"ZG327PA-60","2017/05","A",NA,57.4311666666667
"ZG327PA-60","2017/06","A",NA,50.5627000000001
"ZG227LA-60","2013/04","A",1,NA
"ZG227LA-60","2013/06","A",1,NA
"ZG227LA-60","2013/07","A",60,NA
"ZG227LA-60","2013/08","A",62,NA
"ZG227LA-60","2013/09","A",38,NA
"ZG227LA-60","2013/10","A",35,NA
"ZG227LA-60","2013/11","A",4,NA
"ZG227LA-60","2013/12","A",23,NA
"ZG227LA-60","2014/01","A",5,NA
"ZG227LA-60","2014/02","A",4,NA
"ZG227LA-60","2014/03","A",32,NA
"ZG227LA-60","2014/04","A",66,NA
"ZG227LA-60","2014/05","A",62,NA
"ZG227LA-60","2014/06","A",59,NA
"ZG227LA-60","2014/07","A",41,NA
"ZG227LA-60","2014/08","A",29,NA
"ZG227LA-60","2014/09","A",25,NA
"ZG227LA-60","2014/10","A",20,NA
"ZG227LA-60","2014/11","A",5,NA
"ZG227LA-60","2014/12","A",10,NA
"ZG227LA-60","2015/01","A",3,NA
"ZG227LA-60","2015/02","A",10,NA
"ZG227LA-60","2015/03","A",34,NA
"ZG227LA-60","2015/04","A",63,NA
"ZG227LA-60","2015/05","A",60,NA
"ZG227LA-60","2015/06","A",51,NA
"ZG227LA-60","2015/07","A",41,NA
"ZG227LA-60","2015/08","A",27,NA
"ZG227LA-60","2015/09","A",15,NA
"ZG227LA-60","2015/10","A",14,NA
"ZG227LA-60","2015/11","A",5,NA
"ZG227LA-60","2015/12","A",11,NA
"ZG227LA-60","2016/01","A",11,NA
"ZG227LA-60","2016/02","A",4,NA
"ZG227LA-60","2016/03","A",46,NA
"ZG227LA-60","2016/04","A",54,NA
"ZG227LA-60","2016/05","A",52,NA
"ZG227LA-60","2016/06","A",50,50
"ZG227LA-60","2016/07","A",NA,40.6247205280541
"ZG227LA-60","2016/08","A",NA,25.6408472177252
"ZG227LA-60","2016/09","A",NA,16.6902035514223
"ZG227LA-60","2016/10","A",NA,10.1300995206466
"ZG227LA-60","2016/11","A",NA,9.0267588228729
"ZG227LA-60","2016/12","A",NA,9.35645978869995
"ZG227LA-60","2017/01","A",NA,9.04991960132183
"ZG227LA-60","2017/02","A",NA,29.217427177661
"ZG227LA-60","2017/03","A",NA,50.8039242052812
"ZG227LA-60","2017/04","A",NA,51.6214284904041
"ZG227LA-60","2017/05","A",NA,50.9655748077332
"ZG227LA-60","2017/06","A",NA,43.089686814526
"ZG227A-54","2013/01","A",1,NA
"ZG227A-54","2013/04","A",1,NA
"ZG227A-54","2013/05","A",1,NA
"ZG227A-54","2013/06","A",1,NA
"ZG227A-54","2013/07","A",79,NA
"ZG227A-54","2013/08","A",100,NA
"ZG227A-54","2013/09","A",56,NA
"ZG227A-54","2013/10","A",34,NA
"ZG227A-54","2013/11","A",16,NA
"ZG227A-54","2013/12","A",21,NA
"ZG227A-54","2014/01","A",7,NA
"ZG227A-54","2014/02","A",20,NA
"ZG227A-54","2014/03","A",82,NA
"ZG227A-54","2014/04","A",105,NA
"ZG227A-54","2014/05","A",98,NA
"ZG227A-54","2014/06","A",77,NA
"ZG227A-54","2014/07","A",88,NA
"ZG227A-54","2014/08","A",54,NA
"ZG227A-54","2014/09","A",50,NA
"ZG227A-54","2014/10","A",24,NA
"ZG227A-54","2014/11","A",13,NA
"ZG227A-54","2014/12","A",18,NA
"ZG227A-54","2015/01","A",4,NA
"ZG227A-54","2015/02","A",11,NA
"ZG227A-54","2015/03","A",55,NA
"ZG227A-54","2015/04","A",113,NA
"ZG227A-54","2015/05","A",91,NA
"ZG227A-54","2015/06","A",83,NA
"ZG227A-54","2015/07","A",76,NA
"ZG227A-54","2015/08","A",55,NA
"ZG227A-54","2015/09","A",35,NA
"ZG227A-54","2015/10","A",25,NA
"ZG227A-54","2015/11","A",13,NA
"ZG227A-54","2015/12","A",10,NA
"ZG227A-54","2016/01","A",7,NA
"ZG227A-54","2016/02","A",13,NA
"ZG227A-54","2016/03","A",66,NA
"ZG227A-54","2016/04","A",85,NA
"ZG227A-54","2016/05","A",70,NA
"ZG227A-54","2016/06","A",82,82
"ZG227A-54","2016/07","A",NA,77.8564333333334
"ZG227A-54","2016/08","A",NA,57.1993333333333
"ZG227A-54","2016/09","A",NA,37.6980666666667
"ZG227A-54","2016/10","A",NA,23.1381333333333
"ZG227A-54","2016/11","A",NA,13.248
"ZG227A-54","2016/12","A",NA,12.3236333333333
"ZG227A-54","2017/01","A",NA,10.9742333333333
"ZG227A-54","2017/02","A",NA,14.4341
"ZG227A-54","2017/03","A",NA,63.6257
"ZG227A-54","2017/04","A",NA,88.5990333333334
"ZG227A-54","2017/05","A",NA,80.4227
"ZG227A-54","2017/06","A",NA,79.9251666666667
"ZG222A-48","2013/04","A",1,NA
"ZG222A-48","2013/05","A",2,NA
"ZG222A-48","2013/07","A",113,NA
"ZG222A-48","2013/08","A",111,NA
"ZG222A-48","2013/09","A",81,NA
"ZG222A-48","2013/10","A",42,NA
"ZG222A-48","2013/11","A",12,NA
"ZG222A-48","2013/12","A",23,NA
"ZG222A-48","2014/01","A",8,NA
"ZG222A-48","2014/02","A",13,NA
"ZG222A-48","2014/03","A",74,NA
"ZG222A-48","2014/04","A",96,NA
"ZG222A-48","2014/05","A",106,NA
"ZG222A-48","2014/06","A",111,NA
"ZG222A-48","2014/07","A",72,NA
"ZG222A-48","2014/08","A",60,NA
"ZG222A-48","2014/09","A",36,NA
"ZG222A-48","2014/10","A",25,NA
"ZG222A-48","2014/11","A",13,NA
"ZG222A-48","2014/12","A",11,NA
"ZG222A-48","2015/01","A",12,NA
"ZG222A-48","2015/02","A",21,NA
"ZG222A-48","2015/03","A",60,NA
"ZG222A-48","2015/04","A",120,NA
"ZG222A-48","2015/05","A",88,NA
"ZG222A-48","2015/06","A",86,NA
"ZG222A-48","2015/07","A",84,NA
"ZG222A-48","2015/08","A",50,NA
"ZG222A-48","2015/09","A",36,NA
"ZG222A-48","2015/10","A",17,NA
"ZG222A-48","2015/11","A",14,NA
"ZG222A-48","2015/12","A",18,NA
"ZG222A-48","2016/01","A",7,NA
"ZG222A-48","2016/02","A",11,NA
"ZG222A-48","2016/03","A",82,NA
"ZG222A-48","2016/04","A",96,NA
"ZG222A-48","2016/05","A",93,NA
"ZG222A-48","2016/06","A",98,98
"ZG222A-48","2016/07","A",NA,77.1150112808851
"ZG222A-48","2016/08","A",NA,51.5655060678348
"ZG222A-48","2016/09","A",NA,33.5486270969545
"ZG222A-48","2016/10","A",NA,16.9367520524637
"ZG222A-48","2016/11","A",NA,15.6935030820649
"ZG222A-48","2016/12","A",NA,15.4945684813086
"ZG222A-48","2017/01","A",NA,15.162871459098
"ZG222A-48","2017/02","A",NA,23.1998532837231
"ZG222A-48","2017/03","A",NA,80.8584429623794
"ZG222A-48","2017/04","A",NA,87.5734777663345
"ZG222A-48","2017/05","A",NA,87.1021623320822
"ZG222A-48","2017/06","A",NA,84.3070927277455
"ZD326S-60","2013/04","A",1,NA
"ZD326S-60","2013/07","A",95,NA
"ZD326S-60","2013/08","A",123,NA
"ZD326S-60","2013/09","A",68,NA
"ZD326S-60","2013/10","A",65,NA
"ZD326S-60","2013/11","A",36,NA
"ZD326S-60","2013/12","A",42,NA
"ZD326S-60","2014/01","A",22,NA
"ZD326S-60","2014/02","A",17,NA
"ZD326S-60","2014/03","A",89,NA
"ZD326S-60","2014/04","A",184,NA
"ZD326S-60","2014/05","A",204,NA
"ZD326S-60","2014/06","A",164,NA
"ZD326S-60","2014/07","A",118,NA
"ZD326S-60","2014/08","A",97,NA
"ZD326S-60","2014/09","A",98,NA
"ZD326S-60","2014/10","A",59,NA
"ZD326S-60","2014/11","A",28,NA
"ZD326S-60","2014/12","A",40,NA
"ZD326S-60","2015/01","A",15,NA
"ZD326S-60","2015/02","A",30,NA
"ZD326S-60","2015/03","A",73,NA
"ZD326S-60","2015/04","A",246,NA
"ZD326S-60","2015/05","A",167,NA
"ZD326S-60","2015/06","A",149,NA
"ZD326S-60","2015/07","A",148,NA
"ZD326S-60","2015/08","A",101,NA
"ZD326S-60","2015/09","A",73,NA
"ZD326S-60","2015/10","A",59,NA
"ZD326S-60","2015/11","A",31,NA
"ZD326S-60","2015/12","A",38,NA
"ZD326S-60","2016/01","A",17,NA
"ZD326S-60","2016/02","A",26,NA
"ZD326S-60","2016/03","A",128,NA
"ZD326S-60","2016/04","A",131,NA
"ZD326S-60","2016/05","A",112,NA
"ZD326S-60","2016/06","A",98,98
"ZD326S-60","2016/07","A",NA,101.096703906159
"ZD326S-60","2016/08","A",NA,87.9935790410134
"ZD326S-60","2016/09","A",NA,74.4835314447472
"ZD326S-60","2016/10","A",NA,52.351846826962
"ZD326S-60","2016/11","A",NA,44.6097357022619
"ZD326S-60","2016/12","A",NA,35.5602541595314
"ZD326S-60","2017/01","A",NA,28.1025974665146
"ZD326S-60","2017/02","A",NA,53.9078617297972
"ZD326S-60","2017/03","A",NA,84.6242881451315
"ZD326S-60","2017/04","A",NA,90.3868911157183
"ZD326S-60","2017/05","A",NA,87.7368077575576
