"cd","yr_mon","clst_type","qnty_min","qnty_max","best_model","frcst_from_now"
"ZG327PA-60","2016/07","A",1,86,"rf",42.2157
"ZG327PA-60","2016/08","A",1,86,"rf",35.7967333333333
"ZG327PA-60","2016/09","A",1,86,"rf",26.1154666666667
"ZG327PA-60","2016/10","A",1,86,"rf",17.9623
"ZG327PA-60","2016/11","A",1,86,"rf",14.8609333333333
"ZG327PA-60","2016/12","A",1,86,"rf",13.8626333333333
"ZG327PA-60","2017/01","A",1,86,"rf",11.0422
"ZG327PA-60","2017/02","A",1,86,"rf",18.0358666666667
"ZG327PA-60","2017/03","A",1,86,"rf",46.2757333333333
"ZG327PA-60","2017/04","A",1,86,"rf",61.0172666666667
"ZG327PA-60","2017/05","A",1,86,"rf",57.4311666666667
"ZG327PA-60","2017/06","A",1,86,"rf",50.5627000000001
"ZG227LA-60","2016/07","A",1,66,"gbm",40.6247205280541
"ZG227LA-60","2016/08","A",1,66,"gbm",25.6408472177252
"ZG227LA-60","2016/09","A",1,66,"gbm",16.6902035514223
"ZG227LA-60","2016/10","A",1,66,"gbm",10.1300995206466
"ZG227LA-60","2016/11","A",1,66,"gbm",9.0267588228729
"ZG227LA-60","2016/12","A",1,66,"gbm",9.35645978869995
"ZG227LA-60","2017/01","A",1,66,"gbm",9.04991960132183
"ZG227LA-60","2017/02","A",1,66,"gbm",29.217427177661
"ZG227LA-60","2017/03","A",1,66,"gbm",50.8039242052812
"ZG227LA-60","2017/04","A",1,66,"gbm",51.6214284904041
"ZG227LA-60","2017/05","A",1,66,"gbm",50.9655748077332
"ZG227LA-60","2017/06","A",1,66,"gbm",43.089686814526
"ZG227A-54","2016/07","A",1,113,"rf",77.8564333333334
"ZG227A-54","2016/08","A",1,113,"rf",57.1993333333333
"ZG227A-54","2016/09","A",1,113,"rf",37.6980666666667
"ZG227A-54","2016/10","A",1,113,"rf",23.1381333333333
"ZG227A-54","2016/11","A",1,113,"rf",13.248
"ZG227A-54","2016/12","A",1,113,"rf",12.3236333333333
"ZG227A-54","2017/01","A",1,113,"rf",10.9742333333333
"ZG227A-54","2017/02","A",1,113,"rf",14.4341
"ZG227A-54","2017/03","A",1,113,"rf",63.6257
"ZG227A-54","2017/04","A",1,113,"rf",88.5990333333334
"ZG227A-54","2017/05","A",1,113,"rf",80.4227
"ZG227A-54","2017/06","A",1,113,"rf",79.9251666666667
"ZG222A-48","2016/07","A",1,120,"gbm",77.1150112808851
"ZG222A-48","2016/08","A",1,120,"gbm",51.5655060678348
"ZG222A-48","2016/09","A",1,120,"gbm",33.5486270969545
"ZG222A-48","2016/10","A",1,120,"gbm",16.9367520524637
"ZG222A-48","2016/11","A",1,120,"gbm",15.6935030820649
"ZG222A-48","2016/12","A",1,120,"gbm",15.4945684813086
"ZG222A-48","2017/01","A",1,120,"gbm",15.162871459098
"ZG222A-48","2017/02","A",1,120,"gbm",23.1998532837231
"ZG222A-48","2017/03","A",1,120,"gbm",80.8584429623794
"ZG222A-48","2017/04","A",1,120,"gbm",87.5734777663345
"ZG222A-48","2017/05","A",1,120,"gbm",87.1021623320822
"ZG222A-48","2017/06","A",1,120,"gbm",84.3070927277455
"ZD326S-60","2016/07","A",1,246,"svr",101.096703906159
"ZD326S-60","2016/08","A",1,246,"svr",87.9935790410134
"ZD326S-60","2016/09","A",1,246,"svr",74.4835314447472
"ZD326S-60","2016/10","A",1,246,"svr",52.351846826962
"ZD326S-60","2016/11","A",1,246,"svr",44.6097357022619
"ZD326S-60","2016/12","A",1,246,"svr",35.5602541595314
"ZD326S-60","2017/01","A",1,246,"svr",28.1025974665146
"ZD326S-60","2017/02","A",1,246,"svr",53.9078617297972
"ZD326S-60","2017/03","A",1,246,"svr",84.6242881451315
"ZD326S-60","2017/04","A",1,246,"svr",90.3868911157183
"ZD326S-60","2017/05","A",1,246,"svr",87.7368077575576
"ZD326S-60","2017/06","A",1,246,"svr",88.6714334114408
"ZD326P-60","2016/07","A",2,461,"svr",202.669149578743
"ZD326P-60","2016/08","A",2,461,"svr",227.414519005331
"ZD326P-60","2016/09","A",2,461,"svr",233.095270889911
"ZD326P-60","2016/10","A",2,461,"svr",208.411565687936
"ZD326P-60","2016/11","A",2,461,"svr",180.851233548871
"ZD326P-60","2016/12","A",2,461,"svr",184.066821958002
"ZD326P-60","2017/01","A",2,461,"svr",168.777779028199
"ZD326P-60","2017/02","A",2,461,"svr",153.697319992644
"ZD326P-60","2017/03","A",2,461,"svr",159.635123045523
"ZD326P-60","2017/04","A",2,461,"svr",173.257817257914
"ZD326P-60","2017/05","A",2,461,"svr",185.834821525228
"ZD326P-60","2017/06","A",2,461,"svr",202.148500813322
"ZD326HL-72","2016/07","E",5,234,"svr",95.1513791174783
"ZD326HL-72","2016/08","E",5,234,"svr",153.981718803376
"ZD326HL-72","2016/09","E",5,234,"svr",178.501909582806
"ZD326HL-72","2016/10","E",5,234,"svr",196.499946206469
"ZD326HL-72","2016/11","E",5,234,"svr",178.764771322776
"ZD326HL-72","2016/12","E",5,234,"svr",143.293925296872
"ZD326HL-72","2017/01","E",5,234,"svr",116.7519782764
"ZD326HL-72","2017/02","E",5,234,"svr",96.4258959847293
"ZD326HL-72","2017/03","E",5,234,"svr",78.8156431005876
"ZD326HL-72","2017/04","E",5,234,"svr",65.4806180918749
"ZD326HL-72","2017/05","E",5,234,"svr",52.6818430228551
"ZD326HL-72","2017/06","E",5,234,"svr",46.198296096927
"ZD323-60","2016/07","A",1,140,"rf",96.6198000000001
